G_Number,Last_Name,First_Name,Street_Num,Street_Name,City,STATE,Zip,SSN,Major_Code
G80994432,Campbell,Kendall,2884,University Dr,Arlington,VA,22030,427450024,CHEM
G80520541,Scott,Cody,3023,George Mason Blvd,Arlington,VA,22030,500404050,SOCY
G69586408,Brown,Taylor,4013,University Dr,Arlington,VA,22030,110288532,ECON
G83322119,Torres,Remy,8521,University Dr,Arlington,VA,22030,588399532,ACCT
G61588473,Lewis,Dylan,147,Braddock Rd,Alexandria,VA,22030,487153979,ACCT
G48997789,Thompson,Oakley,3232,Patriot Cir,Alexandria,VA,22201,625755850,ACCT
G98277885,Jackson,Emerson,1559,George Mason Blvd,Alexandria,VA,22201,013035181,BIOL
G18401282,Roberts,Oakley,9817,Braddock Rd,Alexandria,VA,22201,793184928,CSCI
G70386736,Baker,Blake,569,Patriot Cir,Fairfax,VA,22201,599050280,CHEM
G95894301,Jackson,Bella,3321,Braddock Rd,Fairfax,VA,22030,305642277,CSCI
G45530744,Wright,Marley,2131,Braddock Rd,Alexandria,VA,22201,751726245,BIOL
G32382171,Wilson,Logan,7206,University Dr,Arlington,VA,22314,241003882,PSYC
G14501116,Young,Avery,3156,University Dr,Fairfax,VA,22201,144764740,BIOL
G45328638,Davis,Peyton,5898,George Mason Blvd,Arlington,VA,22314,873155420,MATH
G27649708,Scott,Reese,4314,Braddock Rd,Alexandria,VA,22201,037229181,CSCI
G72282618,Robinson,Dylan,1849,Patriot Cir,Fairfax,VA,22201,853780990,ANTH
G78240955,White,Morgan,5759,University Dr,Fairfax,VA,22030,352627956,ACCT
G32427399,Clark,Hayden,7137,George Mason Blvd,Arlington,VA,22201,398059774,BIOL
G44572894,Davis,Taylor,6389,University Dr,Arlington,VA,22030,898330683,ANTH
G86163408,Torres,Brooke,9744,Patriot Cir,Arlington,VA,22314,263511561,PSYC
G88361957,Harris,Kai,2570,Braddock Rd,Arlington,VA,22314,849601775,ECON
G71498306,Wilson,Dakota,3023,Patriot Cir,Fairfax,VA,22030,101325527,ECON
G25655275,White,Harlow,6645,Patriot Cir,Arlington,VA,22314,934879031,CHEM
G22103494,Wright,Dylan,5358,George Mason Blvd,Fairfax,VA,22030,056367921,PSYC
G69044130,Jones,Blake,1331,George Mason Blvd,Alexandria,VA,22314,861396295,SOCY
G35920668,Robinson,Jesse,5782,University Dr,Alexandria,VA,22314,953811035,ANTH
G87403238,Lee,Brooke,6653,Braddock Rd,Arlington,VA,22030,633225860,BIOL
G41424784,King,Kendall,3220,University Dr,Fairfax,VA,22314,101088012,MIS
G35850958,Davis,Skyler,9328,Patriot Cir,Alexandria,VA,22030,807828044,PSYC
G55894088,Adams,Alex,5120,University Dr,Fairfax,VA,22314,189846684,ECON
G26392534,King,Eli,4954,Braddock Rd,Alexandria,VA,22314,339229729,SOCY
G88005387,Roberts,Harper,6912,George Mason Blvd,Fairfax,VA,22201,622142886,CHEM
G64776619,Lewis,Finley,3213,Braddock Rd,Alexandria,VA,22314,609417303,CHEM
G14194903,Harris,Sawyer,4448,Patriot Cir,Alexandria,VA,22030,782247048,CSCI
